PARTICLE_ID,R,G,B,X,Y,Z,VX,VY,VZ,M,RAD,REST,TEMP,COMPLEXITY,COMPLEXITY_SIZE,COMPLEXITY_N
0,0.5,0.5,0.5,17.7638,5.65773,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
1,0.5,0.5,0.5,22.2771,20.052,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
2,0.5,0.5,0.5,-0.383642,-6.05006,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
3,0.5,0.5,0.5,24.7339,0.683138,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
4,0.5,0.5,0.5,24.2788,-6.81941,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
6,0.5,0.5,0.5,-10.2287,-21.1388,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
7,0.5,0.5,0.5,-15.4089,-25.3175,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
8,0.5,0.5,0.5,25.7722,12.3474,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
9,0.5,0.5,0.5,15.312,-18.1987,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
11,0.5,0.5,0.5,16.3968,23.2358,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
12,0.5,0.5,0.5,-13.7547,-6.88912,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
13,0.5,0.5,0.5,10.7059,21.1695,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
18,0.5,0.5,0.5,10.4423,-23.7314,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
20,0.5,0.5,0.5,-4.03479,9.46596,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
21,0.5,0.5,0.5,4.47106,15.5762,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
25,0.5,0.5,0.5,7.9394,27.7998,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
26,0.5,0.5,0.5,0.390654,-18.7308,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
27,0.5,0.5,0.5,-15.8195,15.8719,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
29,0.5,0.5,0.5,-2.21938,-25.6421,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
32,0.5,0.5,0.5,-9.22501,17.3762,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
33,0.5,0.5,0.5,-17.4314,-17.9513,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
34,0.5,0.5,0.5,-24.4793,1.52046,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
36,0.5,0.5,0.5,10.2882,4.46651,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
37,0.5,0.5,0.5,-12.2084,3.6333,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
39,0.5,0.5,0.5,-2.73785,26.9877,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
45,0.5,0.5,0.5,9.15073,-2.28662,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
53,0.5,0.5,0.5,22.3598,-16.0841,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
54,0.5,0.5,0.5,17.9685,-10.5745,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
66,0.5,0.5,0.5,-9.76486,-27.84,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
71,0.5,0.5,0.5,7.75239,-17.9157,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
76,0.5,0.5,0.5,10.4336,-12.295,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
78,0.5,0.5,0.5,-13.9224,9.78369,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
82,0.5,0.5,0.5,-28.8941,-4.70894,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
87,0.5,0.5,0.5,-17.1391,23.0045,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
92,0.5,0.5,0.5,18.15,13.788,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
125,0.5,0.5,0.5,5.41602,8.22171,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
132,0.5,0.5,0.5,-26.3196,-11.1306,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
138,0.5,0.5,0.5,-27.3794,10.2104,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
157,0.5,0.5,0.5,-0.842366,1.03719,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
173,0.5,0.5,0.5,-22.3808,17.0189,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
195,0.5,0.5,0.5,2.83464,22.5634,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
211,0.5,0.5,0.5,-11.8668,26.4241,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
223,0.5,0.5,0.5,4.27079,-25.6401,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
243,0.5,0.5,0.5,11.928,10.7201,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
273,0.5,0.5,0.5,17.1804,-2.27644,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
292,0.5,0.5,0.5,-3.19567,-12.5706,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
356,0.5,0.5,0.5,-19.2961,-1.53692,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
364,0.5,0.5,0.5,-19.3983,-9.88848,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
374,0.5,0.5,0.5,3.599,-11.7604,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
549,0.5,0.5,0.5,-8.57896,-2.60698,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
574,0.5,0.5,0.5,-18.9935,5.05889,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
627,0.5,0.5,0.5,-1.98759,15.2645,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
793,0.5,0.5,0.5,-9.30683,-11.4011,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
982,0.5,0.5,0.5,-23.3946,-16.9205,0,0,0,0,3.7037e+13,3,0.2,0,CIRCLE,30,1
