PARTICLE_ID,R,G,B,X,Y,Z,VX,VY,VZ,M,RAD,REST,TEMP,COMPLEXITY,COMPLEXITY_SIZE,COMPLEXITY_N
0,1,1,1,-46.7618,4.90421,0,-11.6958,-104.804,0,1.875e+14,0.75,0.2,8.77898e+18,moon1,1,1
1,1,1,1,-52.555,6.4648,0,14.3985,-10.3532,0,1.875e+14,0.75,0.2,3.11657e+18,moon1,1,1
2,1,1,1,-99.586,-33.8308,0,-130.322,113.232,0,1.875e+14,0.75,0.2,-1.35759e+19,moon1,1,1
3,1,1,1,-95.9095,-37.7972,0,-247.602,4.72116,0,1.875e+14,0.75,0.2,6.57876e+18,moon1,1,1
4,1,1,1,591.501,133.982,0,284.959,74.0515,0,1.875e+14,0.75,0.2,4.43132e+18,moon1,1,1
5,1,1,1,-49.3689,9.64247,0,66.5486,-61.874,0,1.875e+14,0.75,0.2,-3.31418e+18,moon1,1,1
7,1,1,1,-88.9538,-29.9319,0,-14.8877,-201.866,0,1.875e+14,0.75,0.2,4.2363e+18,moon1,1,1
8,1,1,1,-53.7139,10.8129,0,85.5812,8.78899,0,1.875e+14,0.75,0.2,1.19012e+18,moon1,1,1
9,1,1,1,-51.9761,14.3807,0,143.348,-19.556,0,1.875e+14,0.75,0.2,3.45364e+18,moon1,1,1
10,1,1,1,-46.0859,7.41283,0,29.6802,-115.909,0,1.875e+14,0.75,0.2,3.99626e+18,moon1,1,1
12,1,1,1,-49.2721,4.23516,0,-21.616,-65.0237,0,1.875e+14,0.75,0.2,9.2534e+18,moon1,1,1
13,1,1,1,-103.519,-34.3572,0,-145.465,229.909,0,1.875e+14,0.75,0.2,5.77317e+18,moon1,1,1
14,1,1,1,-102.265,-35.1802,0,-170.189,192.641,0,1.875e+14,0.75,0.2,9.19424e+18,moon1,1,1
15,1,1,1,-49.7552,11.0917,0,90.699,-56.3695,0,1.875e+14,0.75,0.2,-2.07693e+18,moon1,1,1
16,1,1,1,-95.5668,-31.8072,0,-70.2485,-6.01889,0,1.875e+14,0.75,0.2,-9.61627e+18,moon1,1,1
17,1,1,1,-49.6584,5.68452,0,1.0786,-57.2165,0,1.875e+14,0.75,0.2,3.02563e+19,moon1,1,1
