PARTICLE_ID,R,G,B,X,Y,Z,VX,VY,VZ,M,RAD,REST,TEMP,COMPLEXITY,COMPLEXITY_SIZE,COMPLEXITY_N
1,1,0,0,-4.62882,-10.0002,0,361.01,-156.033,0,3.33333e+15,1,0.2,6.13207e+19,simpleswirl2,1,1
2,1,0,0,-4.0306,0.514293,0,1.10914,224.186,0,3.33333e+15,1,0.2,3.04431e+20,simpleswirl2,1,1
2,1,0,0,32.6844,27.4992,0,85.3875,215.67,0,3.33333e+15,1,0.2,0,simpleswirl2,1,1
3,1,0,0,-3.48396,-8.36035,0,15.4369,84.416,0,3.33333e+15,1,0.2,1.54642e+20,simpleswirl2,1,1
3,1,0,0,-6.00688,0.207152,0,61.9679,-164.419,0,3.33333e+15,1,0.2,1.42332e+20,simpleswirl2,1,1
4,1,0,0,-5.28474,2.07219,0,-304.786,-23.5552,0,3.33333e+15,1,0.2,5.82876e+20,simpleswirl2,1,1
5,1,0,0,-16.3271,-5.44608,0,50.6196,-349.43,0,3.33333e+15,1,0.2,0,simpleswirl2,1,1
5,1,0,0,-2.63621,-10.1718,0,396.435,263.436,0,3.33333e+15,1,0.2,1.43823e+20,simpleswirl2,1,1
6,1,0,0,-3.19314,2.33049,0,-360.409,390.219,0,3.33333e+15,1,0.2,1.9336e+20,simpleswirl2,1,1
6,1,0,0,-7.4912,1.54758,0,-261.197,-522.559,0,3.33333e+15,1,0.2,1.6503e+20,simpleswirl2,1,1
